사업장명,소재지전화,소재지전체주소,좌표정보(x),좌표정보(y)
한국체대 누리 태권도장,02-907-8080,서울특별시 강북구 번동 412-52번지,202717.207955651,459366.276320496
한미태권도,472-7103,서울특별시 강동구 길동 343-16번지,212806.55669655,448748.203473564
마을 체육관,476-2681,서울특별시 강동구 성내동 77-37 지층,210844.240429406,448403.75798101
(주)한국태권도아카데미,988-6699,서울특별시 강북구 미아동 1357-6 미아프라자 403호,201602.577531291,457290.100695375
타이틀복싱킥복싱MMA우슈,988-9494,서울특별시 강북구 미아동 62-21 3층,202508.11889912,456979.262449063
강북 대호 태권도장,02-995-9361,서울특별시 강북구 수유동 170-22번지,202178.677909734,460149.135420908
남현 호림태권도,02-582-6699,서울특별시 관악구 남현동 1067-19번지,197911.108311542,441511.436900057
호림태권도,02-886-6622,서울특별시 관악구 신림동 1704-3번지 명성유치원,193474.484374909,440372.599505029
경희대 태권도,02-887-8777,서울특별시 관악구 봉천동 1706 우성아파트 상가 404호,196350.708293561,442532.440501316
경희대 석사 삼성 태권도,02-868-9282,서울특별시 관악구 신림동 730-8,192519.71810399,441334.815065775
진원검도관(172),562-4742,서울특별시 강남구 대치동 966-4번지,205388.506739139,444616.708482847
지킴이태권도(122),2201-1721,서울특별시 강남구 수서동 747번지 삼성아파트 상가동 205호,207950.137458581,442526.253635088
언주 효 태권도장,571-3882,서울특별시 강남구 도곡동 902-2번지 201호,203304.684521205,442693.039067585
화심회라온 태권도,967-2535,서울특별시 강북구 수유동 553-61,200996.748131764,459945.147476746
정무체육관,02-874-9444,서울특별시 관악구 봉천동 952-1번지,194553.838438621,442719.413175605
한국체대왕호태권도 아카데미,02-877-1245,서울특별시 관악구 봉천동 1638-22 원당빌딩 204호,196927.332458179,441332.238209964
한국태권도,02-858-1273,서울특별시 관악구 신림동 547-23 4층,191970.861735853,442396.719987495
한체대태권도장,2216-3631,서울특별시 동대문구 휘경동 57-4 주공아파트,206003.411124595,453389.610226408
KTC 신성태권도,02-874-0337,서울특별시 관악구 신림동 96-38,194422.844393735,441439.780941941
팀타이푼,02-878-8582,서울특별시 관악구 봉천동 702-10 지층호,193496.581137671,443127.826237688
용인대 서울 유도관,02-867-9354,서울특별시 관악구 신림동 1576-23번지 지하1층,192971.061048357,442290.047232761
용인대TOP복싱클럽,02-874-7989,서울특별시 관악구 봉천동 1688-114 지층,196917.0910135,441596.294869966
타이거 권투체육관,02-883-7080,서울특별시 관악구 봉천동 911-13번지 3층,195178.879116927,442342.403518559
민족태권도,02-873-1888,서울특별시 관악구 봉천동 1705 상가동 3층,195478.099238389,442528.04622223
실전경찰태권도,426-3006,서울특별시 강동구 고덕동 645-5번지 2층,213407.858450981,450765.323166313
강북권투,999-1279,서울특별시 강북구 번동 417-40번지,202492.02040835,459543.836301129
이기동동권투체육관,982-1282,서울특별시 강북구 수유동 54-9번지,202040.513822638,458755.361147282
용인대 강 태권도,02-859-0099,서울특별시 관악구 신림동 603-3 4층,192641.815300968,441521.095335608
비룡태권도체육관,02-889-8880,서울특별시 관악구 봉천동 480-3 502호,195362.210914838,442981.74567314
TLM행운 태권스쿨,02-874-1835,서울특별시 관악구 봉천동 1675-14번지 2층,196277.97489676,441966.460834342
경희대 석사 현대 태권도장,02-877-9001,서울특별시 관악구 봉천동 1718 관악벽산블루밍아파트 상가 101동 4층,195045.515107949,443011.455007816
두산 은가비 태권도,02-883-3337,서울특별시 관악구 봉천동 1708 두산아파트 상가동 4층,194879.596231677,442483.131081868
신촌검도관,712-6330,서울특별시 마포구 노고산동 19-52번지 2층,194624.326626423,450353.156593222
SK코리아태권도,982-0123,서울특별시 강북구 미아동 1353번지 SK북한산시티아파트 주상가 2층 213호,201045.611312321,457292.961457264
태비박사경희대태권도,2214-7770,서울특별시 동대문구 전농동 10 전농 SK아파트,205271.704936121,452706.897879436
푸르지오 잉글리쉬 태권스쿨,02-865-3340,서울특별시 관악구 신림동 1486-1,192066.288288345,442028.907550302
경희대 효태권도,374-9997,서울특별시 마포구 상암동 1683 601호,189592.30107511,453114.474936778
연세 휘트니스 태권도,905-5970,서울특별시 강북구 수유동 381-2번지 정암빌딩,201447.680915415,459900.993830562
한진체육관,984-8109,서울특별시 강북구 번동 139번지 한진그랑빌 상가 2층,203242.511375372,458226.512518912
양평유도체육관,772-1902,경기도 양평군 양평읍 공흥리 738-3번지,243774.232069253,443653.589574485
백호태권도,997-6946,서울특별시 강북구 수유동 340-7번지,201349.01775654,460087.716386869
관악검도관,02-864-7717,서울특별시 관악구 신림동 504-6번지 3층,192582.733941704,442560.59262553
남부체육관,02-856-2221,서울특별시 관악구 신림동 637-16 3층,192884.984438557,440885.978178711
성무태권도,02-859-6634,서울특별시 관악구 신림동 1636-35,193568.899365813,442070.694552412
용인대수석태권도,02-862-0006,서울특별시 관악구 신림동 1735-8 402호,192867.828148396,439816.999224208
천하무적태권도,02-879-2234,서울특별시 관악구 봉천동 1517-8 삼부빌딩 101호,195574.058979405,442389.487116945
신성태권도체육관,02-855-2810,서울특별시 관악구 신림동 492-20,192720.909131518,442565.041830416
현대경희태권도체육관,02-888-8619,서울특별시 관악구 봉천동 1000 현대상가 407호,196257.833652996,443341.379446435
챌린지 복싱클럽,02-888-8554,서울특별시 관악구 신림동 1515-12 4층,194326.963621154,440940.187509789
T.S 한국체대 한일태권도장,02-873-5506,서울특별시 관악구 신림동 92-360번지 4층,193977.530071551,441843.181945005
신림복싱클럽,02-859-8880,서울특별시 관악구 신림동 1464-74 지층,193170.45669282,442395.338389347
성북태권도아카데미,988-1442,서울특별시 강북구 미아동 1357-4번지 삼각산아이원아파트,201467.070851848,457085.224329758
펀치라인복싱,991-1388,서울특별시 강북구 수유동 322-23번지 2층,201325.326961123,460333.831685759
천마 태권도,02-868-6699,서울특별시 관악구 신림동 588-1 2층,192620.478005757,441554.430835894
벽산체육관(태권도),906-7080,서울특별시 강북구 수유동 205번지 수유벽산아파트,201606.445832012,460001.632075829
동아 태권도,02-872-8992,"서울특별시 관악구 봉천동 1703 동아아파트 상가A동 404, 405호",195999.574887132,443044.700996218
주한외국인체육관(세계태권도연구소),02-884-5833,서울특별시 관악구 봉천동 721-6 광덕빌딩 6층,193495.619701124,443314.941516933
드림복싱클럽,02-883-1282,서울특별시 관악구 신림동 1514-11번지 4층,194173.966563455,440967.47535987
높은뜻 특전 태권도장,02-889-9969,서울특별시 관악구 봉천동 480-99번지 한빛프라자 401호,195388.50520541,442959.807969175
관악 유도 체육관,02-888-8894,서울특별시 관악구 신림동 116-21번지,194138.12057126,441067.798680657
J다이어트 복싱 체육관,02-865-2919,서울특별시 관악구 신림동 1565-1 승지빌딩,192458.239757393,441774.679423362
더블B복싱클럽,02-878-1282,서울특별시 관악구 봉천동 874-7 한우빌딩 3층,195484.576839367,442191.697730312
용인대 리더 태권도,02-882-3450,서울특별시 관악구 봉천동 1712 401-3호,195563.161650411,443064.437566493
한양대 우성태권도장,02-888-5007,서울특별시 관악구 봉천동 1718-2 블루밍센터 601호,195081.929651786,443087.321987012
경희대 현대 태권도,02-862-2999,서울특별시 관악구 신림동 1735-9번지 파크프라자 502호,192905.272045616,439825.822160271
연세 태권도,987-8709,서울특별시 강북구 번동 169-1번지 201호,203553.42498418,458325.996779397
경희대 인수 태권도,900-8605,서울특별시 강북구 수유동 540-7,200782.752017835,460223.546043441
한국체대 MTA 태권도,2245-3352,서울특별시 동대문구 답십리동 10 동아아파트,205381.986112403,451896.756025119
배봉태권도,2246-5777,서울특별시 동대문구 장안동 94-10,206145.821936779,453078.297268056
대산복싱클럽,02-858-2348,서울특별시 관악구 신림동 617-9 3층,192806.141642524,441169.785490481
금강 태권도장,02-866-5220,서울특별시 관악구 신림동 524-9 2층,192494.506303975,442382.505565853
행복한 비룡태권도,02-858-3390,"서울특별시 관악구 신림동 1735-3 관악산휴먼시아 상가동 203,204호",192795.435013527,439787.715563055
신림 검도관,02-878-1118,서울특별시 관악구 신림동 406-7번지 지하1층,194171.872476284,441378.466939938
줄돌이태권도체육관,02-855-7934,서울특별시 관악구 신림동 1477-21 2층,192337.13299893,441735.865595564
강호태권도장,02-857-1171,서울특별시 관악구 신림동 744-4번지 3층,192276.189896606,441345.350604668
청훈체육관,988-9944,서울특별시 강북구 미아동 469-42번지,202340.696645114,456961.129367977
석사 경희태권도,02-586-7676,서울특별시 관악구 남현동 1081-17 301호,197857.791841349,441413.455664226
승리 태권도,02-879-2103,서울특별시 관악구 신림동 1703-1번지 상가동,194882.821846735,440553.71626053
제일아이캔태권도,02-6081-8045,서울특별시 관악구 신림동 1514-11번지,194173.966563455,440967.47535987
품 태권스쿨,02-3664-9007,서울특별시 강서구 등촌동 646-13번지 2층,187849.650392701,450147.914465761
한국체대 정재환 태권도,2659-8586,서울특별시 강서구 염창동 292번지 염창동아아파트 상가 401호,188719.000495826,450294.498348011
Winners Taekwondo,2693-0167,서울특별시 강서구 화곡동 1039번지 2층,185170.520664883,449011.940041811
경희대 용성태권도,2608-1153,서울특별시 강서구 화곡동 1098-15번지 3층,186683.927874201,450225.521090807
키즈 펀 태권도장,02-3665-8871,서울특별시 강서구 등촌동 644-1번지 2층,187621.636190393,450310.644233923
백두산경희대체육관,2662-6162,서울특별시 강서구 방화동 559-14번지 3층,183138.257688198,452191.731888361
명성태권도,3665-2265,"서울특별시 강서구 등촌동 697-1번지 그랜드종합상가 5층 502, 503호",186336.003796738,450960.614576167
강북 경희대 태권도,984-7724,서울특별시 강북구 미아동 218-1번지 2층,201920.252843044,458632.78544498
대성태권도장,02-2698-8866,서울특별시 강서구 화곡동 159-36 화창빌딩 2층,186782.924186981,447661.321545469
강서 효,2649-1254,서울특별시 강서구 등촌동 514-7번지 해밀리치빌 2층,187651.88342118,449253.450078262
한국체대 용무태권도장,02-713-1588,서울특별시 마포구 공덕동 182-13 2층,195663.925165391,449684.554434258
경희대효태권도,02-308-2533,서울특별시 마포구 상암동 1687 상암프라자 401호,189640.477184701,453099.841974076
경희대석사태권도장,02-6104-9884,"서울특별시 마포구 망원동 416-2번지 2,3층",191348.993990529,450504.347600918
DKB 체육관,903-1387,서울특별시 강북구 수유동 254-8번지,201740.58182517,460327.492469955
용인대 태권도 체육관,903-0676,서울특별시 강북구 번동 459-60번지 2층,202822.695810785,459475.727066239
화랑체육관,2659-9922,서울특별시 강서구 가양동 448번지 일대,187188.534575733,451001.386288942
한양체육관,993-1716,서울특별시 강북구 번동 462-18번지 3층,202593.239098095,459726.783759437
이흥덕유도체육관,989-6636,서울특별시 강북구 미아동 65-2번지 4층,202536.479513627,457161.430823101
J.K 서교태권도,02-334-7007,서울특별시 마포구 서교동 342-20번지 5층,193360.660239183,450212.141186246
명성체육관,02-305-9224,서울특별시 마포구 성산동 174-1번지 2층,191542.838980747,451728.148873409
가람태권도,02-702-1771,서울특별시 마포구 대흥동 549-2번지 에듀빌딩 지하1층,194959.407765279,449027.648416809
고비원주 태권도장(국가대표K),02-2607-1141,서울특별시 강서구 화곡동 838-11번지 화양빌딩 지층,187420.28625987,447825.114432417
Boxing GYM EVEREST(에버레스트 복싱짐),707-1282,서울특별시 마포구 대흥동 206번지 보성빌딩 4층,194896.018584924,449422.0715033
청아검도관,2666-1147,서울특별시 강서구 방화동 607-197번지 지층,183379.802018114,451564.452687059
J.W Boxing Club,02-3662-4554,서울특별시 강서구 가양동 151-10 5층,185955.038210344,451925.154188831
경희대 석사 아이러브 태권도,2697-2697,서울특별시 강서구 화곡동 1145번지 우장산롯데캐슬상가 301호,186520.549439619,450383.07946605
WS복싱클럽,02-2661-1182,서울특별시 강서구 방화동 606-111 2층,183281.088096914,451479.155509413
문화검도관,2607-3831,서울특별시 강서구 화곡동 971-4 3층,186551.772704347,449488.203686315
강서다이어트복싱클럽,070-8113-6988,서울특별시 강서구 화곡동 343-59번지 비동 3층,186395.325674803,447653.061783246
아리랑태권도장,2647-3131,서울특별시 강서구 등촌동 512-7 3층 1호,187747.587175026,449268.710920447
용인대 탑 유도체육관,2662-1541,서울특별시 강서구 내발산동 699-19번지 지층,185332.474159807,450055.415911054
용인대 국가대표 태권도장,2665-7989,서울특별시 강서구 마곡동 739-3번지 에스비타운 901~903호,183897.0,451681.0
해맑은 태권도장,2065-0887,서울특별시 강서구 화곡동 1081-39번지 2층 202호,185680.786227784,448576.194577559
MTA 태권도장,2690-7788,서울특별시 강서구 화곡동 84-3번지 4층,186124.4674169,449437.782048609
퍼스트 태권도,2601-3256,서울특별시 강서구 화곡동 1005-3번지 강서힐스테이트 상가 419호,185570.897855,449764.265664
용인대 태풍태권도,2606-7766,서울특별시 강서구 화곡동 373-5번지 2층,185553.435785412,448132.967098924
한양대박사 비룡 태권도,3663-8333,서울특별시 강서구 내발산동 706-6번지 2층,185695.673924952,449859.419169225
파이널 유도 멀티짐,02-6204-6565,"서울특별시 강서구 화곡동 781-6번지 지층, 3층",187865.382465147,447712.715990744
WEST GYM,02-2668-2900,"서울특별시 강서구 등촌동 63-12번지 어위쉬예다인 지하1층 B04일부, B04-1~B05-1호",186763.420085994,451176.923654341
K 뮤직복싱,2661-3501,서울특별시 강서구 방화동 580-125번지 지층,183364.745591138,451864.070823855
사랑가득 효 태권도,1661-0635,서울특별시 강서구 화곡동 993-2번지 엠에스빌딩 2층,186479.859229662,450098.286809561
용인대 태권도장,2659-0122,서울특별시 강서구 가양동 1485번지 가양6단지아파트 상가동 301호,187498.790852032,451226.066675277
프렌즈 스포츠 클럽,3662-2205,서울특별시 강서구 등촌동 702-4번지 등현유치원 4층,186548.403925842,451033.123382717
으뜸태권도체육관,2665-5077,서울특별시 강서구 방화동 601-3번지 2층,183139.779348115,451722.507210888
로뎀태권도,3662-0105,서울특별시 강서구 내발산동 663-10번지 2층,185846.310043241,450267.932087892
한국검도아카데미,2692-3393,서울특별시 강서구 화곡동 1078-0번지 2층,185711.692279746,448568.824659472
S 복싱,3664-4885,서울특별시 강서구 등촌동 655-38번지 경일빌딩 3층 1호,187076.509393324,450365.543295028
경희대 태권도,2662-6020,"서울특별시 강서구 방화동 829-4번지 금강프라자 3층 332호,333호",183366.101249557,452817.469477897
현대 태권도 체육관,3663-5674,서울특별시 강서구 가양동 448-1번지 현대 강나루(아) 상가동 3층,187293.138076042,450951.818187215
경희태권도 아카데미,2643-0808,서울특별시 강서구 화곡동 796-5번지,187685.833724718,447732.669777724
드림팀  태권도장,2697-0672,서울특별시 강서구 화곡동 1057-9번지 2층,185961.610614076,449115.767492085
명성 태권도장,2666-7989,서울특별시 강서구 방화동 614-172번지 2층,183185.112334583,451479.587902963
대한태권도체육관,2608-4631,서울특별시 강서구 화곡동 366-16번지 4층,185940.854169388,447995.072893716
강서대성복싱클럽,2668-1282,"서울특별시 강서구 가양동 1488번지 가양프라자 205,206호",187582.851731743,451006.669081811
경희대석사 발산태권도교육관,2667-1991,서울특별시 강서구 내발산동 750-11번지 신원메디칼프라자 701호,184636.53344075,450143.872075084
채움태권도장,2667-8988,서울특별시 강서구 내발산동 750-6 발산신성프라자 801호,184566.593011765,450029.718501657
킴스태권도,2668-0750,서울특별시 강서구 내발산동 702-16번지 3층,185490.394238292,449861.780286583
경희대국가대표태권스쿨,2691-8740,서울특별시 강서구 화곡동 1159-1번지 우장산아이파크상가 406호,185509.755178223,449581.928502772
경희대석사 흑룡태권도,2698-5400,서울특별시 강서구 화곡동 861-9번지 2층,187105.440647321,447705.907584138
용인대범호태권도장,2668-7960,서울특별시 강서구 가양동 27-1번지 401,186687.051536769,451701.106425255
흑룡태권도레저스쿨,2668-6888,서울특별시 강서구 염창동 267-22번지 하늘바람빌딩 204호,188320.272052969,449937.289956105
청지회 태권도,2655-1311,서울특별시 강서구 방화동 260-8번지 지층,183607.552740873,451990.173820538
용인대 태권도,02-2666-8281,서울특별시 강서구 방화동 324-3번지,183624.028052256,452786.226054081
한국체대 신곡태권도,643-8388,서울특별시 강서구 화곡동 826-6번지,187498.245972791,448105.775462959
공항체육도장,665-5744,서울특별시 강서구 공항동 19-8번지,183473.763555282,451218.50507569
경희대 석사 비룡태권도,2662-2369,서울특별시 강서구 내발산동 712번지 2층,185063.841692751,449812.446077419
문무태권도,2699-2937,서울특별시 강서구 화곡동 24-287번지 3층,186401.46370352,449004.912993237
경희대 두산태권도,02-2246-3335,서울특별시 동대문구 답십리동 990 두산아파트,205247.577383779,451893.093734117
백두권투체육관,945-2133,서울특별시 강북구 미아동 131-1번지 2층,202430.408970546,457805.004228258
경희대석사체육관,999-1140,서울특별시 강북구 수유동 394-11번지,201356.411939944,459569.552616041
백운체육관,996-2072,서울특별시 강북구 수유동 468-36번지,201170.698968274,458755.149320092
바오짐 발산점,2692-3729,서울특별시 강서구 내발산동 677-4번지 지층,185528.383335622,450178.320435871
송중태권도,987-7775,서울특별시 강북구 미아동 98-39,202614.072087057,457187.950940466
백호 태권도,2691-4554,서울특별시 강서구 화곡동 98-92번지 테마빌딩 4층,186272.490611406,448778.439338285
경희 현대 태권도,3663-5579,"서울특별시 강서구 내발산동 657번지 우장산현대타운  상가1동 5층(515,516호)",185813.15048215,450434.088151226
경수태권도 공부방 스포츠클럽,2605-8880,서울특별시 강서구 화곡동 1131-19번지 3층,186988.485726227,450058.230980243
가양금메달태권스쿨,2659-9889,서울특별시 강서구 가양동 1458-8번지 서경빌딩 5층,186089.207418544,451990.375975039
프로검도관,3661-2208,서울특별시 강서구 염창동 95-24번지 유엔아이빌딩  지층,188757.679293187,449969.467771635
KBS 스포츠월드 검도교실,02-2600-8801,서울특별시 강서구 화곡동 1093-76,186463.83481885,450518.14211989
힘찬태권도장,2691-1030,서울특별시 강서구 화곡동 1016번지 3층,185181.24403834,449171.602254545
리더짐,2664-2289,서울특별시 강서구 내발산동 653번지 솔레드림빌딩 201호,185643.544687055,450612.383812762
"라텔 주짓수,복싱 강서",2603-5111,서울특별시 강서구 화곡동 1006번지 301호(우측),185408.003923033,449514.679385637
용인대 한울 태권도,2662-5999,서울특별시 강서구 방화동 890-3 3층,184131.371323249,452070.495538155
강서 송림 검도관,3665-6778,서울특별시 강서구 등촌동 683번지 인방빌딩 지층,185932.035421161,451560.536861728
염창 경희대 태권도장,3665-9922,서울특별시 강서구 염창동 270 홍익빌딩 2층,188207.583322807,450190.253512154
국민 유도관,2659-0853,서울특별시 강서구 등촌동 655-1번지 3층,187140.084527688,450464.605505897
송화체육관,2666-8286,서울특별시 강서구 방화동 246-15번지 2층,183653.113547275,451829.873183054
신성태권도,2061-0203,"서울특별시 강서구 등촌동 715번지 아이파크@ 부상가 301호,302호,303호",187578.179002957,449082.434083143
U.S.K. 신정태권도장,2695-6183,서울특별시 강서구 화곡동 450-1 1층,186797.703359963,447804.138019295
문성길 복싱클럽,2661-7988,서울특별시 강서구 방화동 281-2번지 은천빌딩 지층,183626.392763814,452330.601841269
왕호태권도,2696-0282,서울특별시 강서구 화곡동 24-192번지 2층,186382.350378946,449195.639061707
김철호다이어트복싱체육관,2699-5589,서울특별시 강서구 화곡동 24-236번지 외1필지 등마루빌 3층,186181.344718428,449159.197099645
한국체대승리태권도,3661-1120,서울특별시 강서구 염창동 244-15번지 3층,188508.502580715,450136.973259432
화곡 한국 태권도,2608-3919,서울특별시 강서구 화곡동 51-89번지 201호,186534.086270506,448922.094530553
한국체육관,605-6913,서울특별시 강서구 화곡동 381-12번지,185724.364635131,448541.975880162
학사,693-7226,서울특별시 강서구 화곡동 1024-11번지,185536.947568956,449134.230726689
한국체대 호랑이,2605-1360,서울특별시 강서구 화곡동 84-4번지 2층,186110.036820382,449447.450704786
상무,02-2696-1100,서울특별시 강서구 화곡동 362-86 3층,185660.928827192,447983.117020689
홍수환EJ복싱체육관,2699-1245,서울특별시 강서구 화곡동 832-9번지 산호빌딩 401호,187338.704711909,447867.556673698
아이캔 태권도장,26664066,서울특별시 강서구 방화동 816 방화6단지도시개발아파트 상가동 303호,183235.979670528,452922.98039021
Bee 복싱짐,2667-4847,서울특별시 강서구 내발산동 750-5번지 발산시티타워 9층,184573.276770349,450049.716475329
마곡S태권도장,3663-5356,서울특별시 강서구 마곡동 348-3 2층,184275.193252761,451829.516720391
백두산 경희대 체육관,02-2663-6161,서울특별시 강서구 마곡동 739-1번지 마곡더블유타워 804호,183758.0,451652.0
용인대 타이곤 태권도장,02-2661-4789,"서울특별시 강서구 마곡동 739-4번지 마곡 헤리움1차 205,206호",183929.0,451638.0
코리아태권도 키즈플레이,2648-0285,서울특별시 강서구 화곡동 472-12번지 2층,187364.931276547,448233.345370482
WS복싱클럽,2666-4885,서울특별시 강서구 공항동 32-2번지 지층 일부(2호)호,183243.474377668,450986.641224796
청암멀티 복싱짐,070-8638-3911,서울특별시 강서구 방화동 189-6번지 지층,184087.009000773,452152.978439315
JMT 정무태권도,2667-6262,서울특별시 강서구 내발산동 750-7 발산타워 701호,184602.513142816,450019.340744957
레드복싱클럽,3663-3112,서울특별시 강서구 내발산동 646-1번지 순봉빌딩 305호,185769.038881853,450647.924741271
경희대효태권도,02-2664-2221,서울특별시 강서구 마곡동 746번지 마곡엠밸리11단지 판매시설동 1106동 107호,184127.0,450880.0
용인대 양천유도관(화곡점),02-2692-6565,서울특별시 강서구 화곡동 354-63번지 2층,185727.181932446,447845.16628853
JMT 연세정무태권도 줄넘기스쿨 마곡점,2663-1116,서울특별시 강서구 마곡동 746-1번지 마곡엠밸리12단지 업무시설1동(1201동) 201~203호,184285.0,450864.0
세계 복싱 체육관,3664-1266,서울특별시 강서구 염창동 244-35번지 401호,188474.213387955,450106.721607289
이상엽 태권도장,0226947980,서울특별시 강서구 화곡동 829-7번지 2층,187448.600249831,447926.219115569
한국 가양 태권도체육관,3665-9333,서울특별시 강서구 가양동 1488번지 가양프라자 501호,187582.851731743,451006.669081811
강서구민올림픽  체육센터,3661-1999,서울특별시 강서구 등촌동 707-3번지,186727.379732369,450834.348807318
공항국제체육관,2666-7559,서울특별시 강서구 공항동 34-50 2층,183355.066772749,450906.909969767
강서 히트 복싱클럽,02-6479-5551,서울특별시 강서구 화곡동 354-65번지 3층,185720.120822482,447860.383161792
강서 문성길 복싱클럽,02-2606-9633,서울특별시 강서구 화곡동 340-31번지,186478.236195076,447891.223391521
한국체대 비호태권도,3664-9494,서울특별시 강서구 등촌동 644-12번지 3층,187670.700274988,450273.998921056
한국체대 중앙태권도,2691-1194,서울특별시 강서구 화곡동 330-12번지 2층,186501.146825765,448262.878195796
경인,2693-7122,서울특별시 강서구 화곡동 836-5번지 화곡동상가,187352.426300033,447743.546305194
경희 대호 태권도장,2663-9754,서울특별시 강서구 방화동 876번지 마곡우림필유아파트 상가동 2층,184146.097300843,452185.244134393
강서종합체육도장,2602-5225,서울특별시 강서구 화곡동 969-11번지,186688.070883214,449570.555539772
정무,2668-5747,서울특별시 강서구 가양동 1482번지 가양도시개발공사아파트(가양8단지아파트) 상가동 304호,187311.265729415,451100.619120075
그레이트 복싱짐,027150706,서울특별시 마포구 구수동 14번지 지하1층,194003.619920406,449434.994727922
싸비복싱멀티짐,02-6218-1800,서울특별시 마포구 서교동 378-8번지,192594.120655823,450010.484802892
이동희태권도,027120838,서울특별시 마포구 대흥동 458번지 지하1층,194963.14062605,449216.519039955
국가대표태권스쿨,2668-6534,"서울특별시 강서구 가양동 1461번지 가양아파트 2단지내 상가 302, 303호",186429.327795498,452034.27568352
국가대표 디테일 태권도장,2694-0137,서울특별시 강서구 화곡동 1006 3층,185408.003923033,449514.679385637
나래 태권도,2659-7005,서울특별시 강서구 가양동 1460번지 한강아파트 상가동 306호,186236.281118291,452133.277893616
코리아 블랙벨트 센타,02-373-0892,서울특별시 마포구 상암동 1739번지 2층,189343.04418441,453624.945221014
KTI 경희대 국가대표 태권도,02-313-4714,서울특별시 마포구 아현동 395-4번지 7층,196583.868057127,449934.898617239
S복싱스쿨,02-711-0227,서울특별시 마포구 신공덕동 5번지 3층,196125.985603111,449507.117918121
국가대표 효 태권도,02-313-0211,서울특별시 마포구 아현동 774번지 2층 215호,195765.230986797,450054.135588493
J.J Team Boxing Gym,02-701-1779,서울특별시 마포구 대흥동 152-1번지 4층,194847.879093535,449540.354965129
서강비룡태권도,02-335-7331,서울특별시 마포구 상수동 160번지 래미안리베류 1단지 상가 202호,193399.0,449352.0
아이사랑 태권도,02-373-3730,서울특별시 마포구 중동 391번지 계룡아파트상가 2층,191620.629860939,452026.148740809
서울휘트니스,02-711-5333,서울특별시 마포구 염리동 159-10번지 대흥빌딩 6층 602호,195140.983767421,449287.448967587
익스트림에스 홍대,02-326-5294,서울특별시 마포구 서교동 395-105 지하2층,192775.875502998,449901.828816234
STS,02-334-3922,서울특별시 마포구 합정동 427-12번지 대경빌딩 2층,192129.733625709,450103.572313448
나라찬태권스쿨,02-6205-9919,서울특별시 마포구 아현동 282-1번지 새한빌딩 3층,196012.782823632,450321.727961584
짐피닉스,02-3143-5232,서울특별시 마포구 노고산동 54-31번지 지하1층,194132.583895131,450263.787820132
레드복싱클럽,02-6223-8212,서울특별시 마포구 도화동 179-6번지 4층,195443.613550569,448744.545994264
나례 태권도,3665-3322,서울특별시 강서구 내발산동 669-2번지 2층,185543.795668878,450247.110306084
호키휘경태권도장,02-2236-6100,서울특별시 동대문구 휘경동 78 휘경동롯데아파트,205528.465353256,454301.442372404
장평태권도,2245-4925,서울특별시 동대문구 장안동 324-8번지,206453.802913626,452441.729734771
주니어7태권도,2214-7172,서울특별시 동대문구 장안동 331-9번지,206562.649224959,452261.894728089
용인대 홍파 태권도,960-4621,서울특별시 동대문구 제기동 1212번지 한신아파트 상가동,203388.646669062,454069.152283609
경희대 효 태권도,02)3394-7799,서울특별시 동대문구 답십리동 765번지,205661.548238672,452069.966457997
신길권투,3667-1279,서울특별시 구로구 신도림동 309-6 성광빌딩 6층 610호,189713.290387994,445458.335742134
금메달 태권도,02-2682-3434,"서울특별시 구로구 궁동 213-21번지 우신상가,302,303호",184941.706201411,443572.873488073
중독된복싱체육관,924-2313,서울특별시 동대문구 용두동 234-42,202610.28584131,452624.214563808
레드복싱,925-3435,서울특별시 동대문구 신설동 102-30,202114.75984426,452554.624413716
용인대백호태권도,3394-7797,서울특별시 동대문구 전농동 688-3 래미안아름숲 상가,205230.401831584,452918.582914393
용광용인대태권도,2244-2915,서울특별시 동대문구 장안동 394-10번지,205772.775696155,451799.74434961
용인대박사태권도,3394-4436,서울특별시 동대문구 전농동 690 래미안 크레시티,204405.177383183,452666.692448624
제심관,02-334-4472,서울특별시 마포구 공덕동 79-7번지,196186.281331063,449669.856924677
유신태권도장,2213-5050,서울특별시 동대문구 답십리동 322-15 답십리근린생활시설,204583.240350811,451945.959803686
월드탑복싱 앤 주짓수짐,02-2298-5255,서울특별시 동대문구 전농동 295-89,204876.691450688,452708.132578049
태사랑 태권도장,0222143214,서울특별시 동대문구 장안동 349-10,206289.702117993,451653.626644161
FORCE GYM,02-6407-1062,서울특별시 동대문구 제기동 1152-7번지,202600.289971836,453416.031698163
골든킥 태권도,02-2212-5435,서울특별시 동대문구 답십리동 244-2번지,204958.774340374,452313.328718878
정도 유도 체육관,6052-2805,서울특별시 동대문구 전농동 38-12번지,205128.104257439,452844.200763219
레전드 복싱 체육관,02-2244-0012,서울특별시 동대문구 장안동 342-24번지,206375.404579295,452136.095191886
경희대태권도,856-5555,서울특별시 구로구 구로동 552-8 대원빌딩 5층,189948.516699695,444703.578999535
성산 코리아 태권도,02-303-0062,서울특별시 마포구 성산동 601번지,191824.223833875,451899.333639704
경희대태권도,02-704-6333,"서울특별시 마포구 공덕동 459번지 공덕3차 래미안상가 301,302호",195719.825155115,449431.796490662
한국체대 성산태권도장,3347750,서울특별시 마포구 합정동 437-31번지,191842.621513229,449832.281422569
영수태권도,02-716-4585,서울특별시 마포구 신수동 62-18번지 3층,194509.701734384,449143.69187384
