사업장명,소재지전화,소재지전체주소
라이즈복싱GYM,031-212-3416,경기도 수원시 영통구 매탄동 153-15
잽주다 복싱클럽,032-431-8155,인천광역시 남동구 논현동 632-2 아이플렉스
한남권투 보광점,02-6402-1212,서울특별시 용산구 보광동 218 신호찜질사우나
즐거운 무예스쿨,031-715-1412,경기도 성남시 분당구 구미동 45-2
정진도장,031-834-7277,경기도 연천군 연천읍 옥산리 364-3
힘찬합기도,062-364-1644,광주광역시 남구 주월동 54-8
무림 합기도 특공무술,031-709-7165,경기도 성남시 분당구 분당동 67 건영아파트
위풍당당 검무관,051-758-1012,부산광역시 수영구 광안동 741-9
팀 유덕관,053-746-0506,대구광역시 수성구 수성동4가 1021-5
S복싱GYM 태장점,033-731-0416,강원도 원주시 태장동 1373-6
향동MTA태권도장,02-3159-7711,경기도 고양시 덕양구 향동동 405
호림 합기도,051-544-9194,부산광역시 해운대구 반송동 883 삼한3차아파트
명지합기도스쿨,063-856-3336,전라북도 익산시 영등동 816-10
위너스 합기도 연무관,041-633-8253,충청남도 홍성군 홍북읍 신경리 1188 아이프라자 2 206호
용인대 드림 태권도장,031-653-5373,경기도 평택시 동삭동 388-13 더샵지제역센트럴파크2BL아파트
한국체대 금나래태권도,02-808-0606,서울특별시 금천구 독산동 1150 금천롯데캐슬골드파크2차
세종의 아침 태권도 해밀관,044-862-0035,세종특별자치시 해밀동 산 8 해밀마을1단지
리프유도체육관,031-896-4810,경기도 용인시 수지구 풍덕천동 705-4 덕원빌딩
사랑가득합기도,02-381-2660,경기도 고양시 덕양구 신원동 621-2 미래메디컬 빌딩
능곡합기도검무관,031-974-1083,경기도 고양시 덕양구 토당동 836-9 영수2빌딩
힘찬합기도,062-654-3553,광주광역시 서구 금호동 892-4 부림
인제합기도,033-461-5806,강원도 인제군 인제읍 상동리 421-10
라파엘브릿지,070-4337-0990,대구광역시 동구 봉무동 1539-5 프라임빌딩
점프윙스 줄넘기 클럽&태권도장,054-273-0025,경상북도 포항시 남구 대잠동 469-2 세명빌딩
도계수련원,032-673-1130,경기도 부천시 원종동 375-9
합기도 천지관 태극도장,052-298-4280,울산광역시 북구 천곡동 474
행신합기도,031-970-1809,경기도 고양시 덕양구 행신동 757 진일프라자2차
옥정검도관,031-867-0414,경기도 양주시 옥정동 963-10 한길프라자
청룡아중합기도체육관,063-241-5446,전라북도 전주시 덕진구 인후동1가 904-2
경희대 흑추관 정무도장,032-438-0061,인천광역시 미추홀구 주안동 894-2
최강합기도,031-357-0982,경기도 화성시 새솔동 76-4
드림팀 합기도,061-382-4001,전라남도 담양군 담양읍 천변리 33-3
광동 검도관,031-431-9788,경기도 시흥시 대야동 545-1 트윈프라자
은여울 태권도장,031-983-0101,경기도 김포시 마산동 638-4 한강신도시 동일스위트 더파크뷰 1단지
송정체육관,062-942-7754,광주광역시 광산구 송정동 260-1 3층
엘리트 복싱클럽,053-636-7005,대구광역시 달서구 상인동 1529-11
위너스 태권도장,0507-1340-3321,경기도 김포시 구래동 6889-2
송광식 복싱 다이어트 짐,031-488-8781,경기도 시흥시 정왕동 1861-3 메가쇼핑몰
디케이비(DKB)합기도,070-8065-7587,서울특별시 강북구 수유동 254-8 지층
효천합기도,031-494-3070,경기도 안산시 단원구 신길동 709-7 삼창B상가 301호
성연 챔피언 태권도,041-665-4404,충청남도 서산시 성연면 일람리 1099 알파빌딩
공명유도관,5456004,전라북도 김제시 요촌동 603-4
정도태권도장 칠전교육관,033-262-7684,강원도 춘천시 칠전동 588-7 2층
최강합기도,02-2247-1230,서울특별시 동대문구 장안동 438-4
I CAN 대곡 태권도장,053-631-8983,대구광역시 달서구 도원동 1443 대곡강산타운
크로스멀티짐(CROSS MULTI GYM),051-996-6565,부산광역시 영도구 동삼동 219-61 장원빌라
김포한강유도체육관 감정점,031-983-0101,경기도 김포시 감정동 673-3
레드미르,0517141127,부산광역시 남구 대연동 55-1 21 센츄리시티 오피스텔
국술합기도무림관,051-338-4794,부산광역시 북구 구포동 1009-38 평해빌딩
대원검도관,053-635-9557,대구광역시 달성군 화원읍 명곡리 110-4 2층 202호
구남 합기도,051-333-2823,부산광역시 북구 구포동 897-27
국가대표 보름 태권도장,031-989-6007,경기도 김포시 고촌읍 신곡리 923-2 캐슬앤파밀리에시티 1단지
새봄 태권도장,032-834-2324,인천광역시 연수구 동춘동 769-27 302호
간석복싱체육관,032-441-8887,인천광역시 남동구 간석동 281-8
위스타트복싱,02-481-1282,서울특별시 강동구 명일동 312-98
힘찬태권도장,041-665-9946,충청남도 서산시 동문동 61-11 자성빌딩
합기도 태무관,041-668-6788,충청남도 서산시 동문동 274-9
완주특공무술,063-261-7795,전라북도 완주군 봉동읍 둔산리 873-2 벽산e-솔렌스힐아파트 상가동
국관장체육관,031-791-8332,경기도 하남시 풍산동 517-2 에이스프라자
국가대표 부부 태권도,031-846-3850,경기도 의정부시 신곡동 353-43
합기도 호림관,02-471-9925,서울특별시 강동구 둔촌동 77-3
청풍체육관,033-541-5687,강원도 삼척시 도계읍 도계리 267-27
기품태권도,051-973-7002,부산광역시 강서구 신호동 215-15
함안복싱체육관,055-584-1244,경상남도 함안군 가야읍 도항리 249-6 함안공설운동장
하단검도관,0512917774,부산광역시 사하구 하단동 898-21
대구 정심종합무술관,053-851-7179,경상북도 경산시 진량읍 봉회리 81-3
승무키즈관,043-882-8175,충청북도 음성군 대소면 오산리 193-2
합기도 예도관,043-877-2667,충청북도 음성군 금왕읍 무극리 40-6
합기도 양우관 총본관,043-731-9020,충청북도 옥천군 옥천읍 장야리 289
엠오비트레이닝센터,02-336-0317,서울특별시 마포구 서교동 408-27 라꼼마빌딩
탑클래스 영어태권도장,031-843-7337,경기도 의정부시 신곡동 489-5
슈퍼비 복싱짐,043-241-1995,충청북도 청주시 청원구 오창읍 주성리 332
용인대 합기도,042-525-6702,대전광역시 서구 괴정동 45-25
화랑합기도,052-295-8258,울산광역시 북구 매곡동 690
호성청룡합기도,063-245-5343,전라북도 전주시 덕진구 우아동3가 602-43
세종의 아침 태권도(나성관),044-866-4483,세종특별자치시 나성동 800 센트럴타워
흑추관총본부,0426330075,대전광역시 대덕구 중리동 245-7
월드클래스 태권도 북변센터 줄넘기 클럽,031-981-8090,경기도 김포시 북변동 761
히어로즈태권도,055-536-0111,경상남도 창녕군 남지읍 마산리 1003-2
고려장현체육관,031-574-3838,경기도 남양주시 진접읍 장현리 381-10 시티프라자
합기도 LG 무림관,051-895-6634,부산광역시 부산진구 개금동 447-63
한국체대금메달태권도,032-243-2363,인천광역시 중구 중산동 1887-4 e편한세상 영종국제도시 오션하임
민족태권도장,053-742-9778,대구광역시 수성구 범어동 901-1
용인대수성태권도장,053-763-5852,대구광역시 수성구 상동 123-1번지
나이스태권도체육관,053-754-1022,대구광역시 수성구 범어동 213-1번지
솔빛태권스쿨,053-781-6939,대구광역시 수성구 지산동 1204-6번지
팔레스태권스쿨,053-759-4700,대구광역시 수성구 만촌동 1356-3번지 메트로팔레스상가 121동 204호
수성엘리트태권도 2관,053-742-1079,대구광역시 수성구 수성동1가 629-12번지 수성동양엘리브 아파트 상가 2층
스마일2태권도장,053-744-0133,대구광역시 수성구 만촌동 1429번지 메트로상가 321동301호302호
용인대 라이온즈 태권도장,053-794-6757,대구광역시 수성구 노변동 353번지 수성월드메르디앙 제상가2동 201~203호
범일검도관,053-763-0991,대구광역시 수성구 수성동1가 272-10번지
용인대 드림 태권스쿨,053-768-4041,대구광역시 수성구 파동 581-109번지 (3층)
용인대우석태권도아카데미,053-795-1315,대구광역시 수성구 신매동 30-6번지 시지효성백년가약 501동 401호
수성꿈나무태권도체육관,053-745-7953,"대구광역시 수성구 범어동 2100번지 월드메르디앙 이스턴카운티 105동 201,202호"
국가대표 부성태권도,053-754-5609,대구광역시 수성구 범어동 261-10번지
정석태권도신천관,053-751-5332,대구광역시 수성구 수성동1가 573번지
용인대 백호 태권도장,053-794-4222,"대구광역시 수성구 신매동 230 아이프라임 상가302동 202,203,302,303,304호"
화랑합기도(총본관),053-794-8882,대구광역시 수성구 신매동 139-1
리틀히어로스포츠짐&영웅태권도,053-767-9002,대구광역시 수성구 수성동1가 218-4번지
박종기 최우수 태권도장,053-792-9324,대구광역시 수성구 사월동 550-3번지
에이스복싱,053-783-1282,대구광역시 수성구 범물동 1374-11번지
수성아트복싱클럽 상동점,053-763-7007,대구광역시 수성구 상동 380-5
태극권공부원(우슈),053-784-2090,대구광역시 수성구 황금동 773-11번지
돌려차기 태권도장,053-753-4175,대구광역시 수성구 범어동 76-9번지
수성아트복싱클럽,053-782-1277,대구광역시 수성구 지산동 1276-12번지
웰키즈 태권도장,053-763-2253,대구광역시 수성구 황금동 148-4번지
범일태권도체육관,053-784-5070,대구광역시 수성구 범물동 1372 208동 1호
검도교실선해재,053-791-0011,대구광역시 수성구 신매동 568-1
세계태권도도장,053-782-7777,대구광역시 수성구 범물동 1277-8번지
아이윌태권도,053-754-1189,대구광역시 수성구 만촌동 994-24번지
코리아태권도,053-791-7171,대구광역시 수성구 시지동 462-2 시지대백맨션상가302
우진5체육관,053-753-5582,대구광역시 수성구 황금동 114-1
해오름태권도,053-755-6123,대구광역시 수성구 수성동4가 1119-46번지 5층
국가대표 영웅 태권도,053-754-8248,대구광역시 수성구 수성동1가 249-139번지
뉴삼성태권도,053-766-7953,대구광역시 수성구 파동 153번지 대자연1차아파트 12동 1호
용인대 드림아이 태권도장,053-783-2722,대구광역시 수성구 범물동 1269번지
굳센아이 태권도장,053-754-9988,대구광역시 수성구 범어동 472-15번지 2층
힘찬기합소리,053-794-5300,대구광역시 수성구 시지동 41번지 시지월드메르디앙아파트 상가107동 B101호
학무재검도관,053-741-7796,대구광역시 수성구 만촌동 859-29번지 지하1층
시지검도교실,053-264-2900,대구광역시 수성구 매호동 1344-8번지
수성아트복싱클럽,053-746-1277,대구광역시 수성구 수성동1가 249-139번지
청춘유도관 수성점,053-791-0006,대구광역시 수성구 욱수동 238-2
학일태권도,053-761-4451,대구광역시 수성구 상동 295-16번지 4층
계명대 나라찬 태권도장,053-743-5551,대구광역시 수성구 만촌동 950-1번지 2층
드림2태권도장,053-763-4041,대구광역시 수성구 파동 581-28번지 상가동 201호
대구대표 한우리 태권도,053-781-4242,대구광역시 수성구 지산동 1272-3번지 지산현대맨션상가106동 301호 303호
김형규태권도장,053-794-0775,대구광역시 수성구 사월동 464
계명대영웅2태권도장,053-767-8188,대구광역시 수성구 지산동 1058-2번지
수성아트복싱클럽 수성4가점,053-743-1277,대구광역시 수성구 수성동4가 1115-21번지 3층
대박짐 복싱,053-754-0976,대구광역시 수성구 범어동 203-7번지
장군태권도장,053-782-7227,대구광역시 수성구 지산동 1199-9번지
태극체육관,053-792-3313,대구광역시 수성구 신매동 578-9번지
경무태권도,053-763-8794,대구광역시 수성구 황금동 818-9
경희대석사태권도장,053-791-0015,대구광역시 수성구 시지동 498번지 고산노변타운상가 2동 203호
동아2체육관,053-792-5618,대구광역시 수성구 신매동 568-5
영남권투체육관,053-763-1212,대구광역시 수성구 상동 201-1
우리아이 태권도장,053-782-9310,대구광역시 수성구 범물동 1382번지 삼주타운상가 105동 205호
검도교실김정국관,053-781-8906,대구광역시 수성구 지산동 1211-8
파란하늘 태권도장,053-752-8884,대구광역시 수성구 수성동4가 1090-6번지 보성타운상가 119동 B01호
원탑 태권도장,053-783-1616,대구광역시 수성구 범물동 1374-11번지 3층
범어태권도,053-754-9338,대구광역시 수성구 범어동 804-46번지 공작맨션 상가 1호 1층
계명대영웅태권스쿨,053-763-2188,대구광역시 수성구 지산동 1028-2번지
K 타이거즈태권도 스포츠클럽관,053-794-0775,대구광역시 수성구 사월동 255-2번지 4층
남부유도관,053-752-3292,대구광역시 수성구 수성동2가 259-3번지
지산 최우수 태권도장,053-767-8836,대구광역시 수성구 지산동 1070-9번지
계명대강산태권도,053-784-1145,대구광역시 수성구 지산동 1275번지 지산한라타운 상가 202호
국가대표 HERO 영웅 태권도,053-765-3997,대구광역시 수성구 황금동 796-9번지
베스트 태권도 2관,053-742-0814,대구광역시 수성구 만촌동 428-6
용인대 시지 유도교실,053-794-3232,대구광역시 수성구 신매동 267-3번지
노변 꿈나무 태권도장,053-791-3856,대구광역시 수성구 노변동 161-7번지
"영웅체육관 (우슈, 합기도)",053-791-4820,대구광역시 수성구 신매동 595번지 두성타운
온누리태권도장,053-752-3313,대구광역시 수성구 범어동 330번지 장원맨션상가 108동 1호
태성태권도,053-759-4233,대구광역시 수성구 범어동 614-3번지
태극 매호관 태권도장,053-793-1513,대구광역시 수성구 사월동 464 사월보성 201동 303호
정훈검도관,053-755-9991,대구광역시 수성구 만촌동 425-7번지
챔프복싱클럽,053-741-1955,대구광역시 수성구 만촌동 859-10번지
태극태권도장,053-793-3313,대구광역시 수성구 욱수동 228-3번지
만촌 대륜 도장,053-756-6588,대구광역시 수성구 만촌동 816 만촌우방아파트 301동 301호
New 넘버원 태권도장,053-756-6667,대구광역시 수성구 범어동 271-47번지
마스터 송즈 태권도장,053-763-6681,대구광역시 수성구 상동 84-14 2층
한가람 태권도,053-765-3651,대구광역시 수성구 상동 157-9번지 1층
꿈나무 태권도 체육관,053-756-2282,대구광역시 수성구 범어동 7-9 2층
검도교실성덕재,053-755-7544,대구광역시 수성구 수성동4가 1232번지 황제빌딩 3층
캐슬 태권도 체육관,053-767-7312,"대구광역시 수성구 황금동 366번지 골드캐슬파크 종합상가동 217,218호"
태극태권도장(황금관),053-767-7311,대구광역시 수성구 황금동 368번지 캐슬골드파크 4단지
일성태권도,053-766-1285,대구광역시 수성구 수성동1가 624-1번지 신세계상가 203호
대건태권도,053-965-7001,대구광역시 동구 신서동 561번지
계명대 해아림 태권도장,053 963 1121,대구광역시 동구 율하동 1433번지
혁신꿈나무태권도,053-961-6663,대구광역시 동구 각산동 1058
경희대 숙천 태권도장,053-964-8898,대구광역시 동구 사복동 841-1번지
영남대 천마태권도,053-961-3314,대구광역시 동구 괴전동 483-10번지
나르샤 태권도장,053-961-7277,대구광역시 동구 대림동 888-4
레드짐 복싱,053-981-0205,대구광역시 동구 봉무동 1539번지 502호
율하엘리트태권도장,053-961-2589,대구광역시 동구 율하동 1443번지
복싱피플,053-269-8883,대구광역시 서구 평리동 1334-3번지
계명대 신흥태권도체육관,0507-1472-6002,대구광역시 달서구 두류동 614-8
계명대태양태권도,581-7033,대구광역시 달서구 이곡동 1189-2번지 상가109동 B01호
광림태권도장,053-633-6363,대구광역시 달서구 도원동 1442 별메마을아파트 상가동 303호
대동체육관,634-4319,"대구광역시 달서구 상인동 1473 상가동 201,202,203호"
신서태권도체육관,053-584-4341,대구광역시 달서구 신당동 1723-6
도원태권도,641-8111,대구광역시 달서구 도원동 1438번지 사계절타운 330동 306호
I.CAN 진월태권도장,632-2687,대구광역시 달서구 진천동 263번지 진천우방상가 108동 201호
I-CAN 송현 태권도,053-643-0110,대구광역시 달서구 송현동 906 우방하이츠 202동 203호
성산 태권도장 3관,053-591-6858,대구광역시 달서구 용산동 416-5 성서청구타운 상가110/202
아이힐링 태권도장,053-639-5516,대구광역시 달서구 도원동 1428-2
대건검도장,053-639-3952,대구광역시 달서구 송현동 906 상가 201동 B01호
올림픽태권도,053-635-3829,대구광역시 달성군 화원읍 천내리 128-6번지
계명대 대동태권도장,053-633-3373,대구광역시 달서구 상인동 540-10 1층
대진 윙 태권도,053-633-1782,대구광역시 달서구 대곡동 1017-8
광림2체육관,053-633-6361,대구광역시 달서구 도원동 1444-1 미리샘마을아파트상가 지하1층
용인대 대구유도체육관,637-7576,대구광역시 달서구 상인동 726-1번지
다사복싱체육관,070-8865-1212,대구광역시 달성군 다사읍 죽곡리 26
계명대아이태권도,053-582-8231,대구광역시 달성군 다사읍 매곡리 473번지 다사 e-편한세상
계명대 석사 소나무향기 태권도장,053-584-6169,대구광역시 달성군 다사읍 매곡리 622 다사한일유앤아이
용인대정진유도교실 화원관,053-637-2477,대구광역시 달성군 화원읍 명곡리 253번지
계명대 고려 태권도장,053-617-8770,대구광역시 달성군 구지면 응암리 1206-2번지
테크노 동아태권스쿨,053-615-2279,대구광역시 달성군 현풍읍 중리 498번지
아이원 태권도,053-611-6636,대구광역시 달성군 현풍읍 중리 497번지
반야월태권도장,963-1102,대구광역시 동구 율하동 43-6번지 2층
호키스피드체육관,053-523-0555,대구광역시 달서구 죽전동 372-13
활기찬태양태권도,053-588-7090,대구광역시 달성군 다사읍 죽곡리 818번지 상가 309동 2층 5호
슈퍼맨태권도장,053-586-7953,대구광역시 달성군 다사읍 서재리 90번지
용계태권도,053-767-9550,대구광역시 달성군 가창면 용계리 30-1번지 가창빌딩
용인대으뜸이체육관,053-588-0123,대구광역시 달서구 이곡동 1332 지하1호호
미소나무태권도장(줄기관),652-0640,대구광역시 달서구 송현동 104-7번지
팀퍼스트 태권도장,053-617-7375,대구광역시 달성군 구지면 창리 446-3번지 2층
계명프렌즈태권스쿨,053-554-3550,대구광역시 달성군 다사읍 죽곡리 808-3번지
TEAM 에이스,053-635-4860,대구광역시 달성군 화원읍 명곡리 269-2번지
배호조 다이어트 복싱클럽,053-593-8332,대구광역시 달성군 다사읍 매곡리 1547-3번지
계명대 가람 태권도장,053-583-7529,대구광역시 달성군 다사읍 죽곡리 823-2번지
달서복싱체육관 대곡점,639-7006,대구광역시 달성군 화원읍 구라리 1735-13 4층
행복한i 화남 키즈 태권도 스포츠짐,053-639-7881,대구광역시 달성군 화원읍 명곡리 110-5번지 4층
코리아연합태권도,053-643-5959,"대구광역시 달서구 유천동 298-1 대곡역화성파크드림상가 111동 201,202호"
탑태권스쿨,053-643-7977,대구광역시 달서구 월성동 1266-3번지
힘찬청운태권도,053-615-5388,대구광역시 달성군 유가읍 봉리 601번지 하나리움퀸즈파크
하랑태권도장,053-611-2722,대구광역시 달성군 옥포읍 강림리 1127번지 4층
행복한i 화남태권도장,053-615-7880,대구광역시 달성군 옥포읍 강림리 1132번지 남도타워 4층
계명대 라이온 태권도,053-588-2001,대구광역시 달성군 다사읍 매곡리 719-2번지 삼산아파트상가 104동 204호
류즈태권도장,053-588-7959,대구광역시 달성군 다사읍 서재리 1131번지 에코폴리스 동화 아이위시 3차
달비 태권도장,053-634-6664,대구광역시 달성군 화원읍 천내리 918번지 화원이진캐스빌
국가대표 바른 태권도장,634-7890,대구광역시 달서구 진천동 206-2 2층
I CAN 늘품 태권도장,638-9859,대구광역시 달서구 상인동 1472-3번지 3층
중앙태권도장,053-616-7375,대구광역시 달성군 현풍읍 중리 497-1번지
태권도승리5체육관,626-8713,대구광역시 남구 대명동 3039-1번지
감삼태권도,053-565-3859,대구광역시 달서구 감삼동 113-7
용산권투체육관,053-571-1212,대구광역시 달서구 용산동 855-17
계명대아람태권도장,632-1190,대구광역시 달서구 도원동 1440-3번지 2층
계명대석사 태권도,053-631-6262,대구광역시 달서구 월성동 86 주공상가 나동 303호
어썸 태권도장,053-524-5577,대구광역시 달서구 본동 901-1번지
달서본리복싱,053-555-5799,대구광역시 달서구 본리동 306-6번지
한빛태권도,053-634-7362,대구광역시 달서구 유천동 488번지 유천포스코아파트상가 201호
넘버원 태권도장,053-633-6578,대구광역시 달서구 상인동 152-16번지
장진규 강건태권도,641-7674,대구광역시 달서구 월성동 1269-3번지 5층
YOU & I 태권스쿨,053-584-6004,대구광역시 달성군 다사읍 세천리 1578-2번지
용인대 해맑은 태권도장,053-591-6416,대구광역시 달성군 다사읍 매곡리 1544-1번지
계명대 하늘마루 태권도,053-639-1010,대구광역시 달서구 월성동 1544번지
영무 체육관,053-638-3300,대구광역시 달서구 진천동 509-17
계명대 하랑 태권도장,639-3960,대구광역시 달서구 월성동 1557-6번지 월성코오롱하늘채1단지 상가 1동 204호
All바른 태권도장,626-5559,대구광역시 달서구 송현동 798-173번지
히어로즈 태권도장,053-611-8624,대구광역시 달성군 유가읍 봉리 594-2번지
가온 태권도장,053-617-7775,대구광역시 달성군 유가읍 봉리 619번지 테크노폴리스 M스퀘어+
용인대 현풍체육관,053-611-9219,대구광역시 달성군 현풍읍 중리 489-1번지
청춘유도관,053-582-2211,대구광역시 달성군 다사읍 죽곡리 811-15번지
TEAM 에이스,053-616-3662,대구광역시 달성군 옥포읍 교항리 2916번지
포산검도,053-611-6710,대구광역시 달성군 유가읍 봉리 608-2번지
아름드리 태권도장,053-586-3559,대구광역시 달성군 다사읍 서재리 1131번지 에코폴리스 동화 아이위시 3차
용인대 석사태권도,053-593-8366,대구광역시 달성군 다사읍 세천리 1703-1번지 제일풍경채 프라임
한미르 무지개 태권도장,635-6557,대구광역시 달서구 대천동 501-3
솔찬마루 태권도장,053-591-1237,대구광역시 달성군 다사읍 세천리 1702-7번지
한창태권도장,053-611-8775,대구광역시 달성군 구지면 응암리 1208번지
사랑 효 태권도장,053-615-3639,대구광역시 달성군 구지면 응암리 1186-3번지
정기영2관복싱체육관,053-636-0892,대구광역시 달서구 진천동 785-12번지
삼성태권도2관,053-633-2588,대구광역시 달서구 진천동 15-1번지
건강한태권도,476-3396,대구광역시 남구 이천동 121-70번지 이천주공1단지상가내 지하1호
계명석사태권도장,427-2226,대구광역시 중구 남산동 2971-11번지
지묘경희도장,053-982-9924,대구광역시 동구 지묘동 327번지 상가동 301호
보람체육관,963-6520,대구광역시 동구 서호동 93-1
장군태권도장,423-0443,대구광역시 중구 봉산동 90번지
계명대 히어로즈 태권도,053-525-4001,대구광역시 달서구 본리동 81-1
서린5태권도장,053-641-3888,대구광역시 달서구 월성동 120 대우푸르지오상가 301/201
대상복싱체육관,567-7007,대구광역시 달서구 본리동 62-6번지 3층
계명대 하늘차기 태권도장,624-5966,대구광역시 달서구 송현동 1942-32번지 2층
서승진태권도인성교육관,636-6100,대구광역시 달서구 상인동 1595번지 3층
타이거 합기도 도장,526-6602,대구광역시 달서구 장기동 539-7 3층
해성태권도,563-1666,대구광역시 달서구 죽전동 203-2번지 (4층)
사이언스복싱스포츠센터,053-622-0075,대구광역시 달서구 월성동 89-2번지
서린3태권도장,053-552-1139,대구광역시 달서구 본리동 76-2 223동 204호
영남대장원태권도교육관,053-627-7416,대구광역시 달서구 성당동 835 성당포스코상가 203호
원진태권스쿨,053-623-0157,대구광역시 달서구 두류동 779-5
대한검도회 백련재,053-634-1233,대구광역시 달서구 진천동 809-115
계명대 길라잡이 태권도,053-521-1103,대구광역시 달서구 용산동 936번지 용산미진태왕아파트
신나라 복싱클럽,053-651-3597,대구광역시 달서구 송현동 798-241
리2태권도장,472-5236,대구광역시 남구 봉덕동 1294-3번지
용인대정진유도교실,473-3292,대구광역시 남구 봉덕동 1292-5번지
부부석사승리태권도스쿨,621-3500,대구광역시 남구 대명동 962-2번지
복싱프라자,621-0038,대구광역시 남구 대명동 30-4번지
진인태권도장,472-5246,대구광역시 남구 이천동 757-3번지
현무태권도,290-9569,대구광역시 중구 남산동 698-10번지
열정의 계성태권도,253-6658,대구광역시 중구 남산동 2499-5번지 극동스타클래스 상가 3층 306호
계명대무림태권도,472-0019,대구광역시 남구 이천동 455-41번지 (1층)
길라잡이태권도장,623-2221,대구광역시 달서구 유천동 597 진천역AK그랑폴리스 301동 303호
동아대 손승완 태권도장,053-632-6500,대구광역시 달서구 대천동 463
서린태권도장,572-3800,대구광역시 달서구 월성동 619-2번지
대구 복싱 다이어트클럽,0536368868,대구광역시 달서구 도원동 1432-6
와룡 다이어트 복싱,053-584-8119,대구광역시 달서구 용산동 9308번지
계명복싱클럽,053-588-8967,대구광역시 달서구 파호동 82-31번지
천마아이태권도장,635-3366,대구광역시 달서구 유천동 605번지 122동 202호
손범구 생활 체육관,053-625-5374,대구광역시 달서구 성당동 429-2
가온 익스트림 태권도장,053-656-2019,대구광역시 달서구 송현동 1945-12번지
진식태극권수련원,631-3651,대구광역시 남구 대명동 908-2번지
효승검도관,471-5959,대구광역시 남구 봉덕동 1292-106번지
비사태권스쿨,473-8253,대구광역시 남구 대명동 2014-349번지
WARRIOR태권도장,053-471-0225,"대구광역시 남구 이천동 452번지 교대역월드메르디앙 305,306,307호"
캡틴태권도,655-8785,대구광역시 남구 대명동 1637-12번지 (3층)
계명대석사 승리태권도 스포츠센터,654-1146,대구광역시 남구 대명동 1559-13번지 (지하1층)
광덕태권도체육관,626-8550,대구광역시 남구 대명동 2680-17번지 보성청록상가 201호
경상권투체육관,625-1277,대구광역시 남구 대명동 1713-12번지 3층
신동기 복싱 체육관,652-1534,대구광역시 남구 대명동 1161-1번지 (3층)
충우관,626-5747,대구광역시 남구 대명동 485-11번지
대구이종격투기주짓수아카데미,053-653-1999,대구광역시 달서구 죽전동 270-8
성산태권도,586-4330,대구광역시 달서구 용산동 501-2번지 보성2차 304
계명대 최강2 태권도장,053-553-8366,대구광역시 달서구 용산동 221 죽전우방 상가동 304호
도도검도관,053-555-0177,대구광역시 달서구 용산동 930-7
검도교실정심관,053-582-9098,대구광역시 달서구 이곡동 734-12
용인대 대구태권도,053-585-5204,대구광역시 달서구 이곡동 1308-1 서한상가 110동 302호
아이캔 꿈나무 태권도장,639-3600,대구광역시 달서구 상인동 1521 상인서한타운 상가동 110동 201호
하나린 태권도장,053-556-6676,대구광역시 서구 중리동 714-20
한국인 태권도,053-554-1355,대구광역시 서구 평리동 605-13
천마태권도장,961-3313,대구광역시 동구 신서동 538-2번지 2층
보람2태권도장,964-2567,대구광역시 동구 신기동 576-1 화성아파트 상가동 202호
화랑태권도체육관,955-9111,대구광역시 동구 효목동 55번지 3층
송정태권도체육관,964-2369,대구광역시 동구 신서동 478-11번지 3층
대천권투체육관,985-3098,대구광역시 동구 방촌동 871-17번지 5층
뉴강남태권도장,941-5944,대구광역시 동구 신암동 1332-12번지 2층
기품태권도장,985-1445,대구광역시 동구 방촌동 1113-191번지 2층
태권도국무체육관,053-955-9754,대구광역시 동구 신암동 277-20
예.지.용 태권스쿨,421-2003,대구광역시 동구 신천동 633번지 동신우방아파트 108동 상가204호
반야월 검도관,961-1372,대구광역시 동구 동호동 375-3번지 6층
태풍태권도체육관,986-8283,대구광역시 동구 방촌동 858-23번지 3층
용인대 진선미유도관,756-6595,대구광역시 동구 효목동 532-2 유림맨션지하2호
학산 K-TIGERS 태권도장,053-964-8887,대구광역시 동구 율하동 1432 동흥메디칼 501호
계명대 석사 동아태권도장,053-965-0003,대구광역시 동구 율하동 1477번지 율사빌딩 5층
용인대동대구태권도체육관,741-4441,대구광역시 동구 효목동 337번지 태왕메트로시티상가 701동 603호
강촌키즈태권도,981-5580,대구광역시 동구 방촌동 1084-623번지 2층
가람슬기 태권도장,053-943-1001,대구광역시 동구 신암동 65번지 2층
체인지태권도장,965-2300,대구광역시 동구 동호동 367-9 5층
효키즈태권도,961-3388,대구광역시 동구 신서동 561번지 321동 302호
큰화랑태권도체육관,053-951-5011,대구광역시 동구 신암동 770-2번지 4층
대한태권도,053-963-0787,대구광역시 동구 신기동 206-2 5층
뿌리깊은꿈나무,053-983-5817,대구광역시 동구 효목동 130-1
철인태권스쿨,053-585-2322,대구광역시 달성군 다사읍 죽곡리 129-1번지 강창하이츠
계명태권도체육관,053-614-7555,대구광역시 달성군 논공읍 남리 1078번지
화원연세한양태권도,053-634-1274,대구광역시 달성군 화원읍 천내리 188번지
다온 태권도장,053-644-1254,대구광역시 달성군 화원읍 구라리 1650번지 대곡역 래미안
명품 동아대 화랑태권도장,053-587-6455,대구광역시 달성군 다사읍 서재리 258-8번지
천내태권도,053-638-0345,대구광역시 달성군 화원읍 천내리 119번지 에덴타운
계명대삼성태권도체육관,053-643-0255,대구광역시 달서구 대곡동 1015
대솔태권도,053-615-1158,대구광역시 달성군 논공읍 남리 577-4번지
태왕태권도,053-635-6747,대구광역시 달성군 화원읍 성산리 493-29번지 성산빌딩
